id_election,rang1_Prénom,rang2_Prénom,rang1_Nom,rang2_Nom,rang1_Nuance,rang2_Nuance,rang1_voix_pct,rang2_voix_pct,election,tour,annee,dep_x,Prénom Président,Nom Président,dep_y,Nuance_interco,insee,dept,Code INSEE,Code Postal
2014_muni_t1,Patrice,Sébastien,DUNAND,CHARPENTIER,LDVD,LDVG,55.76417574164476,29.402929027412693,2014_muni,t1,2014,01,Christophe,bouvier,01,LDVD,01173,01,01173,01170
2014_muni_t1,Joëlle,,RENOUD,,LDIV,,100.0,,2014_muni,t1,2014,01,CHRISTOPHE,greffet,01,UG,01179,01,01179,01290
2014_muni_t1,Jean-Luc,,MARRON,,LDVD,,100.0,,2014_muni,t1,2014,01,Jean,deguerry,01,LDVD,01181,01,01181,01100
2014_muni_t1,Guy,,MORILLON,,LDVD,,100.0,,2014_muni,t1,2014,01,Jean Claude,deschizeaux,01,LDVD,01183,01,01183,01090
2014_muni_t1,Albert,,COCHET,,LDVG,,100.0,,2014_muni,t1,2014,01,,,01,,01189,01,01189,01200
2014_muni_t1,Michel,,COLLETAZ,,LDVD,,100.0,,2014_muni,t1,2014,01,Jean,deguerry,01,LDVD,01192,01,01192,01580
2014_muni_t1,Véronique,,LAMUR,,LDVG,,100.0,,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01195,01,01195,01250
2014_muni_t1,Robert,Arnaud,LONGERON,THENOZ,LDVD,LDVG,71.19266055045873,28.807339449541285,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01196,01,01196,01340
2014_muni_t1,Anne,Philippe,BOLLACHE,TREFF,LDVG,LDIV,65.07430997876857,34.92569002123142,2014_muni,t1,2014,01,Thierry,dupuis,01,LDVG,01199,01,01199,01640
2014_muni_t1,André,Laurent,MOINGEON,GIRARD,LDVD,LDVG,72.46646795827124,27.533532041728765,2014_muni,t1,2014,01,Jean-Louis,guyader,01,NC,01202,01,01202,01150
2014_muni_t1,Yves,,ZANCANARO,,LDIV,,100.0,,2014_muni,t1,2014,01,CHRISTOPHE,greffet,01,UG,01203,01,01203,01290
2014_muni_t1,Marie-Claire,,PANABIERES,,LDVG,,100.0,,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01211,01,01211,01240
2014_muni_t1,Yves,Jérôme,RIGAUD,REVERDY,LDVD,LDVD,57.3170731707317,42.68292682926829,2014_muni,t1,2014,01,Jean-Louis,guyader,01,NC,01213,01,01213,01150
2014_muni_t1,Jean-Pierre,Joseph,GAGNE,JACQUET,LDVD,LDIV,76.4808362369338,23.519163763066203,2014_muni,t1,2014,01,Jean-Louis,guyader,01,NC,01224,01,01224,01360
2014_muni_t1,Alain,,VIVIET,,LDVD,,100.0,,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01229,01,01229,01340
2014_muni_t1,Denis,,LARDET,,LDIV,,100.0,,2014_muni,t1,2014,01,GUY,billoudet,01,LDVD,01231,01,01231,01570
2014_muni_t1,Alain,Luc,GESTAS,ROBERT,LDVG,LDVD,64.04199475065617,35.958005249343834,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01232,01,01232,01851
2014_muni_t1,Guy,,ANTOINET,,LDVD,,100.0,,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01236,01,01236,01340
2014_muni_t1,Yves,,LOCATELLI,,LDVD,,100.0,,2014_muni,t1,2014,01,Jean,deguerry,01,LDVD,01237,01,01237,01100
2014_muni_t1,Bernard,,GRISON,,LDVD,,100.0,,2014_muni,t1,2014,01,Bernard,grison,01,LDVD,01238,01,01238,01600
2014_muni_t1,Jean-Paul,,NEVEU,,LDVD,,100.0,,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01241,01,01241,01370
2014_muni_t1,Vincent,Claude,GELAS,FORTIN,LDIV,LDIV,67.0608108108108,32.939189189189186,2014_muni,t1,2014,01,Jean Claude,deschizeaux,01,LDVD,01243,01,01243,01480
2014_muni_t1,Christian,Arnaud,BUSSY,CAVET,LDVD,LDVG,67.12126796903797,32.878732030962034,2014_muni,t1,2014,01,Jean-Louis,guyader,01,NC,01244,01,01244,01800
2014_muni_t1,Etienne,Guy,ROBIN,DUPUIT,LDVD,LDIV,56.71462829736211,43.28537170263789,2014_muni,t1,2014,01,CHRISTOPHE,greffet,01,UG,01246,01,01246,01660
2014_muni_t1,Henri,,CORMORECHE,,LDVD,,100.0,,2014_muni,t1,2014,01,MICHEL,girer,01,LDVD,01248,01,01248,01390
2014_muni_t1,Etienne,Pierre,SERRAT,CANAUD,LDVD,LDIV,73.3955659276546,26.60443407234539,2014_muni,t1,2014,01,Bernard,grison,01,LDVD,01250,01,01250,01600
2014_muni_t1,Yvan,,CHICHOUX,,LDVD,,100.0,,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01254,01,01254,01250
