Code INSEE,Code Postal,Nuance_interco,annee,dep_x,dep_y,dept,election,president_nom,president_prenom,tour,Nom,prenom,Nuance,voix_pct_
01135,01170,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,PINEY,Henri,LDVG,45.00768049155146
01138,01350,LREM,2014,01,01,01,2014_muni,vuillerod,RENE,t1,ANDRE-MASSE,Franck,LDVD,55.5895865237366
01138,01350,LREM,2014,01,01,01,2014_muni,vuillerod,RENE,t1,BÉRARDI,Christophe,LDVG,44.4104134762634
01142,01120,LDVD,2014,01,01,01,2014_muni,guillot vignot,Philippe,t1,SIMPLEX,Bernard,LDVD,100.0
01142,01120,LDVD,2014,01,01,01,2014_muni,guillot vignot,Philippe,t1,,,,
01143,01220,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,BLANC,Etienne,LUMP,52.09125475285171
01143,01220,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,LAURENT,Jean-Louis,LDVD,32.160963244613434
01145,01240,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,BERARD,Jean,LDVD,100.0
01145,01240,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,,,,
01148,01590,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,DUBARE,Marianne,LDVG,61.69265033407573
01148,01590,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,RIPPE,Nicolas,LDVD,38.30734966592428
01151,01160,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,EMIN,Jean-Luc,LDIV,56.43410852713179
01151,01160,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,DEVOY,Richard,LDIV,43.565891472868216
01153,01170,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,REBEIX,Pierre,LDVD,100.0
01153,01170,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,,,,
01157,01480,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,DUMOULIN,Yves,LDVD,100.0
01157,01480,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,,,,
01159,01570,LDVD,2014,01,01,01,2014_muni,billoudet,GUY,t1,BILLOUDET,Guy,LDVD,51.40243902439025
01159,01570,LDVD,2014,01,01,01,2014_muni,billoudet,GUY,t1,DUMAS,Gilles,LDIV,25.24390243902439
01160,01210,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t2,Daniel,RAPHOZ,LDVD,25.222900046926327
01160,01210,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t2,RAPHOZ,Daniel,LDVD,25.222900046926327
01163,01340,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,FROMONT,Jean-Pierre,LDVG,100.0
01163,01340,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,,,,
01165,01090,LDVD,2014,01,01,01,2014_muni,deschizeaux,Jean Claude,t1,LUX,Jean-Michel,LDVD,100.0
01165,01090,LDVD,2014,01,01,01,2014_muni,deschizeaux,Jean Claude,t1,,,,
01166,01480,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,THEVENET,Martial,LDVD,100.0
01166,01480,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,,,,
01173,01170,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,DUNAND,Patrice,LDVD,55.76417574164476
01173,01170,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,CHARPENTIER,Sébastien,LDVG,29.402929027412693
01179,01290,UG,2014,01,01,01,2014_muni,greffet,CHRISTOPHE,t1,RENOUD,Joëlle,LDIV,100.0
01179,01290,UG,2014,01,01,01,2014_muni,greffet,CHRISTOPHE,t1,,,,
01181,01100,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,MARRON,Jean-Luc,LDVD,100.0
01181,01100,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,,,,
01183,01090,LDVD,2014,01,01,01,2014_muni,deschizeaux,Jean Claude,t1,MORILLON,Guy,LDVD,100.0
01183,01090,LDVD,2014,01,01,01,2014_muni,deschizeaux,Jean Claude,t1,,,,
01185,01110,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t2,ARGENTI,Bernard,LUDI,30.639097744360903
01185,01110,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t2,Bernard,ARGENTI,LUDI,30.639097744360903
01189,01200,,2014,01,01,01,2014_muni,,,t1,COCHET,Albert,LDVG,100.0
01189,01200,,2014,01,01,01,2014_muni,,,t1,,,,
01192,01580,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,COLLETAZ,Michel,LDVD,100.0
01192,01580,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,,,,
01194,01480,LUD,2014,01,69,69,2014_muni,faurite,Daniel,t2,Jean-Pierre,REVERCHON,LDIV,28.38685861941676
01194,01480,LUD,2014,01,69,69,2014_muni,faurite,Daniel,t2,REVERCHON,Jean-Pierre,LDIV,28.38685861941676
01195,01250,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,LAMUR,Véronique,LDVG,100.0
01195,01250,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,,,,
01196,01340,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,LONGERON,Robert,LDVD,71.19266055045873
01196,01340,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,THENOZ,Arnaud,LDVG,28.807339449541285
01199,01640,LDVG,2014,01,01,01,2014_muni,dupuis,Thierry,t1,BOLLACHE,Anne,LDVG,65.07430997876857
01199,01640,LDVG,2014,01,01,01,2014_muni,dupuis,Thierry,t1,TREFF,Philippe,LDIV,34.92569002123142
01202,01150,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t1,MOINGEON,André,LDVD,72.46646795827124
01202,01150,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t1,GIRARD,Laurent,LDVG,27.533532041728765
01203,01290,UG,2014,01,01,01,2014_muni,greffet,CHRISTOPHE,t1,ZANCANARO,Yves,LDIV,100.0
01203,01290,UG,2014,01,01,01,2014_muni,greffet,CHRISTOPHE,t1,,,,
01211,01240,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,PANABIERES,Marie-Claire,LDVG,100.0
01211,01240,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,,,,
01213,01150,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t1,RIGAUD,Yves,LDVD,57.3170731707317
01213,01150,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t1,REVERDY,Jérôme,LDVD,42.68292682926829
01224,01360,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t1,GAGNE,Jean-Pierre,LDVD,76.4808362369338
01224,01360,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t1,JACQUET,Joseph,LDIV,23.519163763066203
01229,01340,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,VIVIET,Alain,LDVD,100.0
01229,01340,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,,,,
01231,01570,LDVD,2014,01,01,01,2014_muni,billoudet,GUY,t1,LARDET,Denis,LDIV,100.0
01231,01570,LDVD,2014,01,01,01,2014_muni,billoudet,GUY,t1,,,,
01232,01851,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,GESTAS,Alain,LDVG,64.04199475065617
01232,01851,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,ROBERT,Luc,LDVD,35.958005249343834
01236,01340,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,ANTOINET,Guy,LDVD,100.0
01236,01340,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,,,,
01237,01100,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,LOCATELLI,Yves,LDVD,100.0
01237,01100,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,,,,
01238,01600,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,GRISON,Bernard,LDVD,100.0
01238,01600,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,,,,
01241,01370,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,NEVEU,Jean-Paul,LDVD,100.0
